0 0 -0.0633 0.0277 0.0227
1 0 -0.0007 0.0482 0.0692
2 0 -0.0608 -0.0091 0.0531
3 0 0.0133 -0.0119 0.0553
4 0 -0.0545 -0.0038 0.0017
5 0 0.0242 0.0683 0.0335
6 0 -0.0293 0.0598 -0.0633
7 0 -0.0165 0.0139 -0.0132
8 0 -0.0424 -0.0599 -0.0265
9 0 -0.0163 -0.0366 0.0479
10 0 0.0354 -0.0449 0.0415
11 0 -0.0003 -0.0495 -0.0634
12 0 -0.0659 -0.0054 -0.0649
13 0 0.0090 0.0280 0.0120
14 0 -0.0053 0.0626 -0.0575
15 0 -0.0042 0.0646 0.0409
16 0 0.0910 -0.0314 -0.0148
17 0 -0.0771 -0.0353 -0.0391
18 0 0.0551 -0.0070 0.0785
19 0 -0.0338 0.0491 0.0270
20 0 0.0450 -0.0337 0.0119
21 0 0.0088 0.0169 -0.0908
22 0 -0.0617 -0.0231 0.0080
23 0 -0.0513 0.0546 0.0323
24 0 0.0442 -0.0622 -0.0187
25 0 -0.0033 0.0696 0.0695
26 0 -0.0645 0.0122 0.0409
27 0 0.0422 -0.0100 0.0480
28 0 -0.0615 0.0598 0.0258
29 0 0.0718 -0.0153 -0.0233
30 0 0.0587 -0.0291 -0.0117
31 0 0.0782 -0.0148 -0.0003
32 1 2.4185 0.4901 0.0336
33 1 2.8052 0.7697 -0.5574
34 1 2.9837 -0.9831 -0.1652
35 1 3.0553 -0.4778 0.3705
36 1 3.0155 -0.6660 0.1262
37 1 2.4500 0.1757 -0.5319
38 1 3.1998 0.2011 0.5868
39 1 3.2664 0.0125 -0.7619
40 1 3.7477 -0.4170 0.1489
41 1 3.4118 0.5167 -0.7027
42 1 3.7339 0.1848 0.4824
43 1 3.5921 -0.3714 -0.6732
44 1 3.5935 0.1259 0.2773
45 1 2.3873 0.7845 -0.0110
46 1 3.4238 -0.0393 0.0667
47 1 2.4251 -0.2068 -0.2640
48 1 2.4073 -0.0151 0.0971
49 1 2.9240 -0.2624 -0.6730
50 1 3.1882 -0.4764 0.0514
51 1 2.3770 0.4980 -0.3822
52 1 2.6101 0.7874 0.0460
